District,Winner,Margin of Victory,Total Vote,Top Opponent
Washington District 10,Denny Heck,9.4%,181492,Joyce McDonald
Washington District 1,Suzan DelBene,10.1%,"225,579",Pedro Celis
Washington District 2,Rick Larsen,21.1%,201691,B.J. Guillot
Washington District 3,Jaime Herrera Beutler,23.1%,202814,Bob Dingethal
Washington District 4,Dan Newhouse,1.6%,"153,079",Clint Didier
Washington District 5,Cathy McMorris Rodgers,21.4%,223242,Joseph Pakootas
Washington District 6,Derek Kilmer,26%,"224,290",Marty McClendon
Washington District 7,Jim McDermott,61.9%,251875,Craig Keller
Washington District 8,Dave Reichert,26.5%,"198,744",Jason Ritchie
Washington District 9,Adam Smith,41.7%,166794,Doug Basler
West Virginia District 1,David McKinley,27.8%,143685,Glen Gainer
"West Virginia, District 2",Alex Mooney,3.2%,153092,Nick Casey
West Virginia District 3,Evan Jenkins,10.7%,"140,401",Nick Rahall
Wisconsin District 1,Paul Ryan,26.6%,"288,170",Rob Zerban
Wisconsin District 2,Mark Pocan,36.9%,"328,847",Peter Theron
Wisconsin District 3,Ron Kind,13%,"275,161",Tony Kurtz
Wisconsin District 4,Gwen Moore,43.4%,"254,892",Dan Sebring
Wisconsin District 5,Jim Sensenbrenner,39.1%,"332,826",Chris Rockwood
Wisconsin District 6,Glenn Grothman,15.9%,"299,033",Mark Harris
Wisconsin District 7,Sean Duffy,19.9%,"286,603",Kelly Westlund
Wisconsin District 8,Reid Ribble,30.1%,"290,048",Ron Gruett
Wyoming's At-Large District,Cynthia Lummis,45.6%,"165,100",Richard Grayson
