District,Winner,Winner votes (%),Runner-up,Runner-up votes (%),Total votes,Margin of victory
Iowa's 4th Congressional District,Steve King,50.34%,J.D. Scholten,47.01%,"313,251",3.33%
Iowa's 3rd Congressional District,Cindy Axne,49.30%,David Young,47.14%,"356,241",2.16%
Iowa's 2nd Congressional District,Dave Loebsack,54.79%,Chris Peters,42.60%,"312,913",12.19%
Iowa's 1st Congressional District,Abby Finkenauer,50.96%,Rod Blum,45.91%,"334,243",5.06%
Indiana's 9th Congressional District,Trey Hollingsworth,56.48%,Liz Watson,43.52%,"271,361",12.96%
Indiana's 8th Congressional District,Larry Bucshon,64.43%,William Tanoos,35.57%,"244,291",28.86%
Indiana's 7th Congressional District,André Carson,64.86%,Wayne Harmon,35.14%,"217,596",29.73%
Indiana's 6th Congressional District,Greg Pence,63.82%,Jeannine Lee Lake,32.86%,"241,726",30.96%
Indiana's 5th Congressional District,Susan Brooks,56.76%,Dee Thornton,43.24%,"317,177",13.52%
Indiana's 4th Congressional District,James Baird,64.06%,Tobi Beck,35.94%,"244,363",28.12%
Indiana's 3rd Congressional District,Jim Banks,64.73%,Courtney Tritch,35.27%,"245,537",29.45%
Indiana's 2nd Congressional District,Jackie Walorski,54.83%,Mel Hall,45.16%,"228,889",9.67%
Indiana's 1st Congressional District,Peter Visclosky,65.09%,Mark Leyva,34.91%,"245,209",30.19%
Illinois' 9th Congressional District,Jan Schakowsky,73.49%,John Elleson,26.51%,"290,351",46.97%
Illinois' 8th Congressional District,Raja Krishnamoorthi,65.97%,Jitendra Diganvker,34.03%,"197,127",31.95%
Illinois' 7th Congressional District,Danny K. Davis,87.62%,Craig Cameron,12.38%,"246,243",75.23%
Illinois' 6th Congressional District,Sean Casten,53.58%,Peter Roskam,46.42%,"315,446",7.15%
Illinois' 5th Congressional District,Mike Quigley,76.66%,Tom Hanson,23.33%,"279,131",53.33%
Illinois' 4th Congressional District,Jesus Garcia,86.59%,Mark Wayne Lorch,13.41%,"166,189",73.17%
Illinois' 3rd Congressional District,Daniel Lipinski,73.01%,Arthur Jones,25.92%,"223,334",47.09%
Illinois' 2nd Congressional District,Robin Kelly,80.73%,David Merkle,19.27%,"227,691",61.46%
Illinois' 1st Congressional District,Bobby Rush,73.51%,Jimmy Lee Tillman II,19.76%,"257,885",53.74%
Illinois' 18th Congressional District,Darin LaHood,67.23%,Junius Rodriguez,32.77%,"291,413",34.47%
Illinois' 17th Congressional District,Cheri Bustos,62.09%,Bill Fawell,37.91%,"229,749",24.19%
Illinois' 16th Congressional District,Adam Kinzinger,59.12%,Sara Dady,40.88%,"255,825",18.25%
Illinois' 15th Congressional District,John Shimkus,70.93%,Kevin Gaither,29.07%,"255,608",41.86%
Illinois' 14th Congressional District,Lauren Underwood,52.50%,Randy Hultgren,47.50%,"297,199",5.00%
Illinois' 13th Congressional District,Rodney Davis,50.38%,Betsy Londrigan,49.62%,"270,981",0.76%
Illinois' 12th Congressional District,Mike Bost,51.57%,Brendan Kelly,45.39%,"261,543",6.18%
Illinois' 11th Congressional District,Bill Foster,63.84%,Nick Stella,36.16%,"227,765",27.68%
Illinois' 10th Congressional District,Brad Schneider,65.39%,Doug Bennett,34.61%,"232,221",30.79%
Idaho's 2nd Congressional District,Michael Simpson,60.67%,Aaron Swisher,39.33%,"280,655",21.34%
Idaho's 1st Congressional District,Russ Fulcher,62.75%,Cristina McNeil,30.76%,"315,069",31.99%
Hawaii's 2nd Congressional District,Tulsi Gabbard,77.36%,Brian Evans,22.64%,"198,121",54.72%
Hawaii's 1st Congressional District,Ed Case,73.10%,Cam Cavasso,23.07%,"184,211",50.03%
Georgia's 9th Congressional District,Doug Collins,79.50%,Josh McCall,20.49%,"282,582",59.01%
Georgia's 8th Congressional District,Austin Scott,99.72%,Write-ins,0.28%,"198,716",99.43%
Georgia's 7th Congressional District,Rob Woodall,50.08%,Carolyn Bourdeaux,49.92%,"280,453",0.15%
Georgia's 6th Congressional District,Lucy McBath,50.51%,Karen Handel,49.48%,"317,032",1.03%
Georgia's 5th Congressional District,John Lewis,100.00%,N/A,N/A,"275,406",100.00%
Georgia's 4th Congressional District,Hank Johnson,78.85%,Joe Profit,21.15%,"288,809",57.69%
Georgia's 3rd Congressional District,Drew Ferguson,65.53%,Chuck Enderlin,34.47%,"293,006",31.05%
Georgia's 2nd Congressional District,Sanford Bishop Jr.,59.65%,Herman West Jr.,40.35%,"229,171",19.30%
Georgia's 1st Congressional District,"Earl ""Buddy"" Carter",57.74%,Lisa Ring,42.26%,"250,683",15.48%
Georgia's 14th Congressional District,Tom Graves,76.50%,Steven Foster,23.50%,"229,724",53.00%
Georgia's 13th Congressional District,David Scott,76.16%,David Callahan,23.81%,"293,010",52.35%
Georgia's 12th Congressional District,Rick Allen,59.48%,Francys Johnson,40.52%,"250,492",18.96%
Georgia's 11th Congressional District,Barry Loudermilk,61.79%,Flynn Broady Jr.,38.21%,"310,540",23.58%
Georgia's 10th Congressional District,Jody Hice,62.89%,Tabitha Johnson-Green,37.11%,"302,735",25.78%
Florida's 9th Congressional District,Darren Soto,58.02%,Wayne Liebnitzky,41.98%,"296,737",16.04%
Florida's 8th Congressional District,Bill Posey,60.50%,Sanjay Patel,39.50%,"360,527",21.00%
Florida's 7th Congressional District,Stephanie Murphy,57.69%,Mike Miller,42.31%,"317,398",15.38%
Florida's 6th Congressional District,Michael Waltz,56.31%,Nancy Soderberg,43.69%,"333,649",12.63%
Florida's 5th Congressional District,Alfred Lawson,66.78%,Virginia Fuller,33.22%,"270,326",33.56%
Florida's 4th Congressional District,John Rutherford,65.16%,Ges Selmont,32.35%,"381,249",32.81%
Florida's 3rd Congressional District,Ted Yoho,57.62%,Yvonne Hayes Hinson,42.38%,"306,496",15.25%
Florida's 2nd Congressional District,Neal Dunn,67.44%,Bob Rackleff,32.56%,"295,568",34.88%
Florida's 27th Congressional District,Donna Shalala,51.76%,Maria Elvira Salazar,45.76%,"252,586",6.00%
Florida's 26th Congressional District,Debbie Mucarsel-Powell,50.87%,Carlos Curbelo,49.13%,"235,475",1.75%
Florida's 25th Congressional District,Mario Diaz-Balart,60.45%,Mary Barzee Flores,39.55%,"212,845",20.91%
Florida's 24th Congressional District,Frederica Wilson,N/A,N/A,N/A,--,100.00%
Florida's 23rd Congressional District,Debbie Wasserman Schultz,58.48%,Joe Kaufman,35.98%,"276,366",22.49%
Florida's 22nd Congressional District,Ted Deutch,62.02%,Nicolas Kimaz,37.98%,"297,683",24.05%
Florida's 21st Congressional District,Lois Frankel,N/A,N/A,N/A,--,100.00%
Florida's 20th Congressional District,Alcee Hastings,99.92%,Write-ins,0.08%,"202,824",99.84%
Florida's 1st Congressional District,Matt Gaetz,67.06%,Jennifer Zimmerman,32.94%,"322,388",34.12%
Florida's 19th Congressional District,Francis Rooney,62.27%,David Holden,37.72%,"339,607",24.55%
Florida's 18th Congressional District,Brian Mast,54.30%,Lauren Baer,45.70%,"342,359",8.60%
Florida's 17th Congressional District,Greg Steube,62.26%,Allen Ellison,37.74%,"310,520",24.52%
Florida's 16th Congressional District,Vern Buchanan,54.56%,David Shapiro,45.44%,"361,946",9.12%
Florida's 15th Congressional District,Ross Spano,53.02%,Kristen Carlson,46.98%,"285,532",6.04%
Florida's 14th Congressional District,Kathy Castor,N/A,N/A,N/A,--,100.00%
Florida's 13th Congressional District,Charlie Crist,57.64%,George Buck,42.36%,"316,971",15.29%
Florida's 12th Congressional District,Gus Bilirakis,58.09%,Chris Hunter,39.66%,"334,918",18.43%
Florida's 11th Congressional District,Daniel Webster,65.14%,Dana Cottrell,34.84%,"367,506",30.30%
Florida's 10th Congressional District,Val Demings,N/A,N/A,N/A,--,100.00%
Delaware at-large,Lisa Blunt Rochester,64.45%,Scott Walker,35.55%,"352,737",28.91%
Connecticut's 5th Congressional District,Jahana Hayes,55.87%,Manny Santos,44.12%,"270,664",11.75%
Connecticut's 4th Congressional District,Jim Himes,61.21%,Harry Arora,38.79%,"275,651",22.42%
Connecticut's 3rd Congressional District,Rosa DeLauro,93.63%,Angel Cadena,6.37%,"154,277",87.26%
Connecticut's 2nd Congressional District,Joe Courtney,62.17%,Dan Postemski,35.45%,"289,114",26.72%
Connecticut's 1st Congressional District,John Larson,63.87%,Jennifer Nye,35.03%,"274,140",28.84%
Colorado's 7th Congressional District,Ed Perlmutter,60.42%,Mark Barrington,35.42%,"338,067",25.00%
Colorado's 6th Congressional District,Jason Crow,54.10%,Mike Coffman,42.87%,"346,822",11.23%
Colorado's 5th Congressional District,Doug Lamborn,57.02%,Stephany Rose Spaulding,39.31%,"322,716",17.71%
Colorado's 4th Congressional District,Ken Buck,60.61%,Karen McCormick,39.38%,"369,621",21.24%
Colorado's 3rd Congressional District,Scott Tipton,51.52%,Diane Mitsch Bush,43.55%,"336,201",7.97%
Colorado's 2nd Congressional District,Joe Neguse,60.27%,Peter Yu,33.64%,"430,765",26.63%
Colorado's 1st Congressional District,Diana DeGette,73.81%,Casper Stockham,23.05%,"369,715",50.76%
California's 9th Congressional District,Jerry McNerney,56.49%,Marla Livengood,43.51%,"200,763",12.98%
California's 8th Congressional District,Paul Cook,59.97%,Tim Donnelly,40.03%,"170,785",19.93%
California's 7th Congressional District,Ami Bera,55.04%,Andrew Grant,44.96%,"281,617",10.09%
California's 6th Congressional District,Doris Matsui,80.43%,Jrmar Jefferson,19.57%,"201,939",60.85%
California's 5th Congressional District,Mike Thompson,78.87%,Anthony Mills,21.13%,"261,018",57.74%
California's 53rd Congressional District,Susan Davis,69.07%,Morgan Murtaugh,30.93%,"268,794",38.15%
California's 52nd Congressional District,Scott Peters,63.85%,Omar Qudrat,36.15%,"296,007",27.69%
California's 51st Congressional District,Juan Vargas,71.20%,Juan Hidalgo Jr.,28.80%,"153,828",42.40%
California's 50th Congressional District,Duncan Hunter,51.72%,Ammar Campa-Najjar,48.28%,"259,810",3.43%
California's 4th Congressional District,Tom McClintock,54.13%,Jessica Morse,45.87%,"340,654",8.26%
California's 49th Congressional District,Mike Levin,56.42%,Diane Harkey,43.58%,"295,030",12.84%
California's 48th Congressional District,Harley Rouda,53.55%,Dana Rohrabacher,46.45%,"294,736",7.10%
California's 47th Congressional District,Alan Lowenthal,64.86%,John Briscoe,35.14%,"221,036",29.71%
California's 46th Congressional District,Lou Correa,69.15%,Russell Lambert,30.85%,"147,916",38.29%
California's 45th Congressional District,Katie Porter,52.05%,Mimi Walters,47.95%,"305,289",4.10%
California's 44th Congressional District,Nanette Barragán,68.34%,Aja Brown,31.66%,"143,322",36.68%
California's 43rd Congressional District,Maxine Waters,77.67%,Omar Navarro,22.33%,"196,052",55.34%
California's 42nd Congressional District,Ken Calvert,56.50%,Julia Peacock,43.50%,"231,932",13.00%
California's 41st Congressional District,Mark Takano,65.10%,Aja Smith,34.90%,"166,248",30.20%
California's 40th Congressional District,Lucille Roybal-Allard,77.35%,Rodolfo Cortes Barragan,22.65%,"121,449",54.70%
California's 3rd Congressional District,John Garamendi,58.07%,Charlie Schaupp,41.93%,"232,251",16.15%
California's 39th Congressional District,Gil Cisneros,51.56%,Young Kim,48.44%,"244,393",3.11%
California's 38th Congressional District,Linda Sánchez,68.85%,Ryan Downing,31.15%,"202,156",37.70%
California's 37th Congressional District,Karen Bass,89.08%,Ron Bassilian,10.92%,"236,378",78.15%
California's 36th Congressional District,Raul Ruiz,59.02%,Kimberlin Brown Pelzer,40.98%,"207,008",18.03%
California's 35th Congressional District,Norma Torres,69.40%,Christian Valiente,30.60%,"149,024",38.80%
California's 34th Congressional District,Jimmy Gomez,72.54%,Kenneth Mejia,27.46%,"151,906",45.08%
California's 33rd Congressional District,Ted Lieu,70.03%,Kenneth Wright,29.97%,"312,860",40.06%
California's 32nd Congressional District,Grace Napolitano,68.78%,Joshua Scott,31.22%,"177,031",37.56%
California's 31st Congressional District,Pete Aguilar,58.74%,Sean Flynn,41.26%,"187,495",17.49%
California's 30th Congressional District,Brad Sherman,73.40%,Mark Reed,26.60%,"260,993",46.80%
California's 2nd Congressional District,Jared Huffman,77.01%,Dale Mensing,22.99%,"315,657",54.02%
California's 29th Congressional District,Tony Cardenas,80.61%,Benito Bernal,19.39%,"154,692",61.22%
California's 28th Congressional District,Adam Schiff,78.37%,Johnny Nalbandian,21.63%,"250,934",56.74%
California's 27th Congressional District,Judy Chu,79.21%,Bryan Witt,20.79%,"202,636",58.42%
California's 26th Congressional District,Julia Brownley,61.94%,Antonio Sabato Jr.,38.06%,"255,426",23.88%
California's 25th Congressional District,Katie Hill,54.37%,Stephen Knight,45.63%,"245,022",8.73%
California's 24th Congressional District,Salud Carbajal,58.56%,Justin Fareed,41.44%,"284,431",17.11%
California's 23rd Congressional District,Kevin McCarthy,63.72%,Tatiana Matta,36.28%,"205,774",27.43%
California's 22nd Congressional District,Devin Nunes,52.72%,Andrew Janz,47.28%,"222,379",5.44%
California's 21st Congressional District,TJ Cox,50.38%,David Valadao,49.62%,"113,616",0.76%
California's 20th Congressional District,Jimmy Panetta,81.37%,Ronald Paul Kabat,18.63%,"225,721",62.75%
California's 1st Congressional District,Doug LaMalfa,54.89%,Audrey Denney,45.11%,"291,594",9.77%
California's 19th Congressional District,Zoe Lofgren,73.75%,Justin Aguilera,26.25%,"220,319",47.51%
California's 18th Congressional District,Anna Eshoo,74.49%,Christine Russell,25.51%,"302,238",48.98%
California's 17th Congressional District,Ro Khanna,75.35%,Ron Cohen,24.65%,"211,162",50.69%
California's 16th Congressional District,Jim Costa,57.55%,Elizabeth Heng,42.45%,"142,959",15.09%
California's 15th Congressional District,Eric Swalwell,72.97%,Rudy Peters,27.03%,"243,929",45.94%
California's 14th Congressional District,Jackie Speier,79.22%,Cristina Osmeña,20.78%,"266,823",58.45%
California's 13th Congressional District,Barbara Lee,88.38%,Laura Wells,11.62%,"294,837",76.76%
California's 12th Congressional District,Nancy Pelosi,86.82%,Lisa Remmer,13.18%,"317,072",73.65%
California's 11th Congressional District,Mark DeSaulnier,74.13%,John Fitzgerald,25.87%,"275,681",48.26%
California's 10th Congressional District,Josh Harder,52.25%,Jeff Denham,47.75%,"221,900",4.50%
Arkansas' 4th Congressional District,Bruce Westerman,66.74%,Hayden Shamel,31.23%,"204,892",35.51%
Arkansas' 3rd Congressional District,Steve Womack,64.74%,Joshua Mahony,32.63%,"229,708",32.11%
Arkansas' 2nd Congressional District,French Hill,52.13%,Clarke Tucker,45.82%,"253,453",6.31%
Arkansas' 1st Congressional District,Rick Crawford,68.95%,Chintan Desai,28.77%,"201,245",40.17%
Arizona's 9th Congressional District,Greg Stanton,61.09%,Steve Ferrara,38.91%,"261,245",22.17%
Arizona's 8th Congressional District,Debbie Lesko,55.46%,Hiral Tipirneni,44.53%,"304,417",10.93%
Arizona's 7th Congressional District,Ruben Gallego,85.61%,Gary Swing,14.17%,"132,051",71.44%
Arizona's 6th Congressional District,David Schweikert,55.19%,Anita Malik,44.81%,"313,699",10.39%
Arizona's 5th Congressional District,Andy Biggs,59.42%,Joan Greene,40.58%,"313,064",18.85%
Arizona's 4th Congressional District,Paul Gosar,68.17%,David Brill,30.51%,"277,035",37.66%
Arizona's 3rd Congressional District,Raul Grijalva,63.87%,Nicolas Pierson,36.13%,"179,518",27.73%
Arizona's 2nd Congressional District,Ann Kirkpatrick,54.73%,Lea Marquez Peterson,45.24%,"294,152",9.49%
Arizona's 1st Congressional District,Tom O'Halleran,53.83%,Wendy Rogers,46.14%,"266,089",7.69%
Alaska at-large,Don Young,53.31%,Alyse Galvin,46.69%,"280,978",6.61%
Alabama's 7th Congressional District,Terri Sewell,97.80%,Write-ins,2.20%,"189,163",95.61%
Alabama's 6th Congressional District,Gary Palmer,69.18%,Danner Kline,30.77%,"278,328",38.41%
Alabama's 5th Congressional District,Mo Brooks,61.02%,Peter Joffrion,38.89%,"260,673",22.13%
Alabama's 4th Congressional District,Robert Aderholt,79.77%,Lee Auman,20.13%,"230,969",59.65%
Alabama's 3rd Congressional District,Mike Rogers,63.72%,Mallory Hagan,36.22%,"231,915",27.50%
Alabama's 2nd Congressional District,Martha Roby,61.39%,Tabitha Isner,38.43%,"226,230",22.96%
Alabama's 1st Congressional District,Bradley Byrne,63.16%,Robert Kennedy Jr.,36.78%,"242,617",26.38%
