District,Winner,Margin of Victory,Total Vote,Top Opponent
Virginia District 5,Tom Garrett,16.7%,"356,756",Jane Dittmar
Virginia District 6,Bob Goodlatte,33.5%,"338,409",Kai Degner
Virginia District 7,David Brat,15.3%,"379,163",Eileen Bedell
Virginia District 8,Don Beyer,41.1%,"360,676",Charles Hernick
Virginia District 9,Morgan Griffith,40.3%,"310,314",Derek Kitts
Washington District 10,Denny Heck,17.3%,"290,564",Jim Postma
Washington District 1,Suzan DelBene,10.8%,"349,398",Robert Sutherland
Washington District 2,Rick Larsen,28%,"325,408",Marc Hennemann
Washington District 3,Jaime Herrera Beutler,23.5%,"313,277",Jim Moeller
Washington District 4,Dan Newhouse,15.3%,"229,919",Clint Didier
Washington District 5,Cathy McMorris Rodgers,19.3%,"323,534",Joe Pakootas
Washington District 6,Derek Kilmer,23.1%,"327,834",Todd Bloom
Washington District 7,Pramila Jayapal,12%,"378,754",Brady Walkinshaw
Washington District 8,Dave Reichert,20.4%,"320,865",Tony Ventrella
Washington District 9,Adam Smith,45.8%,"281,482",Doug Basler
West Virginia District 1,David McKinley,37.9%,"237,003",Mike Manypenny
West Virginia District 2,Alexander Mooney,16.4%,"242,014",Mark Hunt
West Virginia District 3,Evan Jenkins,43.9%,"207,332",Matt Detch
Wisconsin District 1,Paul Ryan,34.8%,"353,990",Ryan Solen
Wisconsin District 2,Mark Pocan,37.6%,"397,581",Peter Theron
Wisconsin District 3,Ron Kind,99.9%,"257,570",Write-in
Wisconsin District 4,Gwen Moore,65.3%,"285,858",Robert Raymond
Wisconsin District 5,Jim Sensenbrenner,37.4%,"390,507",Khary Penebaker
Wisconsin District 6,Glenn Grothman,19.9%,"356,935",Sarah Lloyd
Wisconsin District 7,Sean Duffy,23.4%,"362,061",Mary Hoeft
Wisconsin District 8,Mike Gallagher,25.4%,"363,592",Tom Nelson
Wyoming's At-large District,Liz Cheney,32.1%,"251,776",Ryan Greene
Kentucky District 1,James Comer,45.2%,"299,001",Sam Gaskins
