State,Winner,Margin of Victory,Total Votes,Top Opponent
"New York, District 14",Joseph Crowley,57.9%,"170,995",William Gibbons Jr.
"Hawaii, District 2",Tulsi Gabbard,58.3%,"219,162","Kawika ""David"" Crowley"
"Texas, District 9",Al Green,58.8%,"183,566",Steve Mueller
"New Jersey, District 8",Albio Sires,59.1%,"167,790",Maria Karczewski
"North Carolina, District 12",Melvin L. Watt,59.3%,"310,908",Jack Brosch
"Washington, District 7",Jim McDermott,59.3%,"374,580",Ron Bemis
"Massachusetts, District 7",Michael Capuano,59.5%,"285,134",Karla Romero
"Texas, District 30",Eddie Bernice Johnson,59.8%,"217,014","Travis Washington, Jr."
"Arkansas, District 3",Steve Womack,59.9%,"245,660",Rebekah Kennedy
"Texas, District 17",Bill Flores,59.9%,"179,262",Ben Easton
"Mississippi, District 3",Gregg Harper,60%,"293,322",John Luke Pannell
"Texas, District 11",Mike Conaway,60.1%,"226,023",Jim Riley
"Missouri, District 1",William Lacy Clay,60.8%,"340,583",Robyn Hamlin
"Virginia, District 3",Robert C. Scott,62.8%,"318,936",Dean Longo
"Louisiana, District 5",Rodney Alexander,63.4%,"260,216",Ron Ceasar
"Arizona, District 7",Ed Pastor,63.5%,"127,827",Joe Cobb
"Illinois, District 4",Luis Gutierrez,66%,"160,505",Hector Concepcion
"Michigan, District 14",Gary Peters,66.6%,"328,792",John Hauler
"New York, District 5",Gregory Meeks,66.8%,"224,508",Allan Jennings Jr.
"Florida, District 25",Mario Diaz-Balart,67.1%,"200,229",VoteforEddie.Com
"Tennessee, District 6",Diane Black,67.5%,"241,241",Pat Riley
"New York, District 9",Yvette Clarke,67.8%,"238,957",Daniel Cavanagh
"Georgia, District 5",John Lewis,68.8%,"277,665",Howard Stopeck
"Louisiana, District 6",Bill Cassidy,68.9%,"306,713","Rufus Holt Craig,Jr"
"Florida, District 21",Theodore E. Deutch,68.9%,"284,400",Cesear Henao
"Michigan, District 13","John Conyers, Jr.",69.1%,"284,270",Harry T. Sawicki
"New York, District 13",Charles Rangel,69.8%,"233,172",Craig Schley
"Pennsylvania, District 1",Robert Brady,69.9%,"277,102",John Featherman
"Texas, District 19",Randy Neugebauer,70%,"192,063",Richard Peterson
"California, District 12",Nancy Pelosi,70.2%,"298,187",John Dennis
"New York, District 8",Hakeem Jeffries,70.4%,"236,292",Alan Bellone
"California, District 34",Xavier Becerra,71.2%,"140,590",Stephen Smith
"California, District 37",Karen Bass,72.8%,"239,580",Morgan Osborne
"California, District 13",Barbara Lee,73.6%,"288,582",Marilyn M. Singleton
"Illinois, District 7",Danny K. Davis,73.7%,"286,428",Rita Zak
"Massachusetts, District 2",Jim McGovern,74.5%,"342,736",All Others
"New York, District 7",Nydia Velazquez,74.7%,"178,825",James Murray
"Florida, District 20",Alcee L. Hastings,75.8%,"244,285",Randall Terry
"Florida, District 4",Ander Crenshaw,76%,"315,470",Gary Koniz
"Massachusetts, District 1",Richard Neal,76.6%,"336,555",All Others
"New Jersey, District 10",Donald Payne Jr.,77%,"230,060",Brian Kelemen
"Pennsylvania, District 2",Chaka Fattah,79.9%,"356,386",Robert Mansfield
"New York, District 15",Jose E. Serrano,83%,"178,645",Frank Della Valle
"Texas, District 13",Mac Thornberry,84.8%,"206,388",John Robert Deek
"Texas, District 29",Gene Green,84.8%,"95,611",James Stanczak
"South Carolina, District 6",James Clyburn,88.1%,"233,615",Nammu Y Muhammad
"South Carolina, District 2",Joe Wilson,92.5%,"203,718",Write-In
"Alabama, District 1",Jo Bonner,95.7%,"200,676",N/A
"Ohio, District 8",John A. Boehner,98.4%,"248,316",James Condit Jr.
"Georgia, District 8",Austin Scott,100%,"197,789",Unopposed
"Georgia, District 10",Paul Broun,100%,"211,065",Unopposed
"Georgia, District 3",Lynn Westmoreland,100%,"232,380",Unopposed
"Kansas, District 1",Tim Huelskamp,100%,"211,337",Unopposed
"Ohio, District 11",Marcia L. Fudge,100%,"258,359",Unopposed
"Texas, District 3",Sam Johnson,100%,"187,180",Unopposed
"Florida, District 15",Dennis A. Ross,100%,01,Unopposed
"Florida, District 24",Frederica S. Wilson,100%,01,Unopposed
